SI No.,Name,Notes,Quantity,Price Per Unit,Cost,Total,Link
1,Gateron White KS20 Hall Effect Switches,MX-compatible hall effect switches,68,0.48,32.64,,https://geon.works/products/geon-raw-he-switch
2,MDK ZDA thick black keycaps  Keycap Set,68-key keycap set for 65% layout,1,20.3471296,20.3471296,,https://www.aliexpress.com/item/1005008792587187.html
3,EC11 Rotary Encoder Knob,EC11 encoder Knob,1,1,1,,https://keeb.io/products/rotary-encoder-knob-ec11?variant=16012055052382
4,Slide Potentiometer Knob,Knob for Bourns PTA6043,1,1.7489024,1.7489024,,https://www.digikey.co.nz/en/products/detail/cliff-electronic-components-ltd/FC72621/21406847
5,Stabilizer Set (65%),Screw-in stabilizers: 1x 6.25u + 3x 2u,1,16,16,,https://www.gateron.com/products/gateron-screw-in-stabilizer?VariantsId=10175
6,M2x12mm Bolts,Pack of 20 for case assembly,1,3.1163328,3.1163328,,https://www.aliexpress.com/item/1005004492454886.html
7,M2x5mm Threaded Insert,Pack of 10 brass threaded inserts,1,2.523584,2.523584,,https://www.aliexpress.com/item/1005002428162691.html
8,EC11 Rotary Encoder ,EC11E Rotary Encoder,1,5.2936576,5.2936576,,https://www.digikey.co.nz/en/products/detail/alps-alpine/EC11E15244G1/21721550
9,USB-C Cable,Data cable for connecting keyboard,0,16.2683136,0,,https://www.aliexpress.com/item/1005009051714044.html
10,"0.91"" SSD1306 OLED Display","0.91"" SSD1306 OLED Display",1,5.73,5.73,,https://www.aliexpress.com/item/1005004572487969.html
11,PCB + PCBA (JLCPCB),RP2350-based PCB with all SMD components assembled,1,186.06,186.06,,https://jlcpcb.com
12,Sliding Potientometer,PTA6043-2010CIB103,1,2.62,2.62,,https://www.digikey.co.nz/en/products/detail/bourns-inc/PTA6043-2010CIB103/3781224
13,Case Manufacturing (Aluminum + Wood),Custom milled case,0,89.3,0,,https://jlccnc.com/
,,,,,,277.0796064,
