Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C5",0805,3,10u,
"C10, C9",0402,2,4.7u,
"C11, C12, C13, C14, C15, C16, C17, C18, C2, C20, C21, C8",0402,12,100n,
"C22, C24, C25",0603,3,100n,
"C3, C4",0402,2,15p,
J1,USB_C_Receptacle_Amphenol_12401610E4-2A,1,USB_C_Receptacle,
J4,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,
"R1, R9",0402,2,DNF,
R10,0402,1,0,
"R11, R12",0402,2,27,
"R13, R14, R2",0603,3,10k,
"R15, R6",0603,2,1k,
"R16, R19",0603,2,4.7k,
"R3, R4, R8",0402,3,1k,
R5,0402,1,10k,
R7,0402,1,33,
RV1,Potentiometer_Bourns_PTA6043_Single_Slide,1,R_Potentiometer,
"SW1, SW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,SW_Push,
SW3,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder,
U1,QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm,1,RP2350_80QFN,
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U40, U41, U42, U43, U44, U45, U46, U47, U48, U49, U50, U51, U52, U53, U54, U55, U56, U57, U58, U59, U60, U61, U62, U63, U64, U65, U66, U67, U68, U69, U70, U71, U72, U73, U74, U75, U76",SW_MX_HE_0deg_1u,67,SW_MX_HE,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U4,SOT-23-6,1,CH221K,
"U5, U6, U7, U8, U9",SOIC-24W_7.5x15.4mm_P1.27mm,5,CD74HC4067M,
U78,ER_OLEDM0.91_1x-I2C,1,ER_OLEDM0.91_1x-I2C,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
